Categoria: Todas as categorias

Semana,vila ema são paulo: (Mundo)
2022-01-02,82
2022-01-09,25
2022-01-16,0
2022-01-23,36
2022-01-30,70
2022-02-06,53
2022-02-13,38
2022-02-20,74
2022-02-27,51
2022-03-06,27
2022-03-13,37
2022-03-20,62
2022-03-27,45
2022-04-03,33
2022-04-10,55
2022-04-17,27
2022-04-24,64
2022-05-01,38
2022-05-08,92
2022-05-15,36
2022-05-22,0
2022-05-29,33
2022-06-05,53
2022-06-12,48
2022-06-19,100
2022-06-26,63
2022-07-03,22
2022-07-10,79
2022-07-17,85
2022-07-24,0
2022-07-31,70
2022-08-07,35
2022-08-14,97
2022-08-21,33
2022-08-28,0
2022-09-04,53
2022-09-11,42
2022-09-18,36
2022-09-25,58
2022-10-02,51
2022-10-09,57
2022-10-16,0
2022-10-23,52
2022-10-30,0
2022-11-06,18
2022-11-13,85
2022-11-20,0
2022-11-27,25
2022-12-04,23
2022-12-11,48
2022-12-18,41
2022-12-25,0
