Categoria: Todas as categorias

Semana,belém são paulo: (Mundo)
2022-01-02,80
2022-01-09,79
2022-01-16,72
2022-01-23,95
2022-01-30,74
2022-02-06,68
2022-02-13,87
2022-02-20,58
2022-02-27,69
2022-03-06,89
2022-03-13,80
2022-03-20,83
2022-03-27,83
2022-04-03,83
2022-04-10,64
2022-04-17,79
2022-04-24,80
2022-05-01,96
2022-05-08,63
2022-05-15,79
2022-05-22,83
2022-05-29,70
2022-06-05,89
2022-06-12,83
2022-06-19,77
2022-06-26,82
2022-07-03,89
2022-07-10,97
2022-07-17,74
2022-07-24,100
2022-07-31,76
2022-08-07,96
2022-08-14,90
2022-08-21,99
2022-08-28,76
2022-09-04,66
2022-09-11,81
2022-09-18,80
2022-09-25,69
2022-10-02,82
2022-10-09,89
2022-10-16,73
2022-10-23,88
2022-10-30,57
2022-11-06,68
2022-11-13,75
2022-11-20,55
2022-11-27,54
2022-12-04,40
2022-12-11,45
2022-12-18,56
2022-12-25,54
