sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
0,36,70,100,0,0,56,0,0,34,53,0,0,,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,50,0,50,0,100,100,0,100,90,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,36,65,0,,38
52,0,0,0,0,100,45,0,0,48,0,0,0,,0,0,0,88,0,40,0,87,0,35,47,0,0,30,57,0,0,0,0,0,0,48,0,0,0,0,46,0,0,0,100,0,0,0,0,0,65,0,100,0,0,0,76,0,0,0,0,31,0,0,0,0,97,,0
0,32,0,0,0,25,42,48,0,0,0,0,0,,77,0,0,0,0,0,52,0,0,0,38,0,0,41,100,0,0,0,0,0,55,0,0,0,0,0,63,0,0,0,36,0,0,0,0,0,0,59,0,62,0,0,0,0,0,0,0,0,0,0,0,32,0,,30
0,27,46,0,0,37,58,46,49,42,0,0,0,,59,0,0,0,0,0,0,0,64,50,0,63,0,16,0,0,30,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,79,100,0,0,0,0,33,0,0,0,0,0,0,0,0,35,0,0,,81
0,0,0,0,0,0,50,100,0,31,0,0,0,,0,0,30,0,0,0,0,56,45,0,0,68,0,32,0,0,0,0,0,0,77,0,0,46,58,0,0,0,0,0,83,76,70,100,0,0,0,0,0,0,100,0,0,0,0,0,48,0,0,0,32,0,0,,0
0,35,0,0,0,41,53,0,0,24,100,0,0,,0,31,0,0,0,0,0,0,100,100,49,0,0,73,0,29,0,0,100,0,0,79,0,0,0,0,0,0,0,79,29,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,0,,37
0,77,0,19,27,0,46,0,79,37,0,0,0,,52,0,22,0,0,0,0,0,59,21,0,65,0,53,59,36,0,0,0,0,0,73,51,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,41,44,0,24,0,0,0,0,0,,48
24,50,0,0,0,0,47,0,0,31,0,0,0,,0,24,71,0,0,32,0,0,0,0,37,0,0,34,0,0,54,0,41,100,0,0,0,23,0,0,25,0,47,0,54,0,51,34,0,0,0,0,0,0,0,0,81,0,0,49,44,0,0,38,0,23,0,,14
31,25,0,0,0,0,51,0,0,43,0,0,0,,0,0,0,0,68,0,0,0,34,0,49,0,0,20,0,28,0,26,0,40,90,0,0,70,0,0,0,0,0,0,28,0,0,31,0,100,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,,49
0,0,70,22,0,18,43,0,43,31,0,0,0,,0,37,35,0,40,0,0,27,37,26,30,59,0,48,39,0,37,0,0,29,0,0,0,76,100,0,0,0,0,0,24,0,38,0,0,0,0,0,0,100,0,0,0,0,0,64,0,0,0,61,0,0,0,,29
0,23,0,0,0,0,56,0,0,40,0,0,0,,0,0,0,0,0,0,0,91,0,0,0,49,0,37,0,35,100,0,0,27,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,0,0,25,0,0,0,0,0,38,0,0,0,0,0,0,0,,100
31,20,0,0,60,49,43,0,0,34,0,0,0,,36,0,0,0,0,44,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,100,0,0,0,0,38,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20
0,42,0,0,0,14,52,0,0,35,0,0,0,,0,20,28,0,0,0,0,38,0,0,0,0,0,0,0,22,0,0,0,0,28,0,33,0,28,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,78,0,,55
14,20,0,15,0,0,61,0,0,43,24,41,41,,0,0,0,0,0,0,23,0,0,0,28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,46,0,0,0,0,0,0,0,84,0,0,26,0,0,0,0,0,,66
0,59,0,0,0,0,59,0,0,44,0,0,0,,100,27,37,0,40,0,0,0,0,0,0,0,0,0,0,0,50,0,0,25,0,58,0,0,0,0,0,0,0,43,0,58,0,0,0,53,0,61,0,0,0,0,0,100,0,0,0,0,0,28,49,36,0,,48
14,35,0,0,0,25,67,0,44,68,0,0,0,,0,100,22,0,45,39,0,0,0,14,0,100,0,17,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,57,26,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,,50
0,28,100,13,0,0,52,0,0,37,85,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,0,0,0,27,20,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,39,0,0,0,0,0,78,53,0,50,0,0,0,79,0,0,54,,47
24,0,0,0,0,23,66,0,0,40,0,0,0,,0,61,30,0,0,0,0,0,53,0,0,0,0,32,0,0,36,99,0,0,62,0,0,0,0,0,0,27,0,0,0,29,0,27,0,0,0,0,0,0,0,0,0,0,44,57,0,0,0,0,0,0,0,,37
0,40,0,0,0,15,66,0,0,38,0,34,34,,0,23,0,0,0,39,33,0,0,0,0,0,0,30,0,28,0,0,0,0,42,44,0,0,0,0,34,0,57,0,0,0,24,73,54,0,0,0,0,33,22,0,48,0,0,0,46,0,0,0,0,74,0,,0
67,39,0,24,0,22,86,0,45,35,0,0,0,,0,0,0,0,0,90,0,0,0,0,0,0,20,29,0,55,0,0,0,0,37,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,47,0,0,0,96,,67
0,0,0,0,0,24,100,0,0,24,0,55,55,,57,28,0,0,100,0,0,0,0,54,0,0,0,31,32,0,0,0,0,0,0,0,0,0,0,38,0,53,0,30,0,32,0,0,0,38,34,0,0,0,0,0,0,0,0,37,100,0,0,0,0,0,0,,29
0,0,0,0,0,0,74,0,0,26,74,0,0,,0,0,0,0,0,0,0,0,90,0,0,0,0,40,0,35,89,0,44,0,0,0,0,0,43,26,65,29,0,0,0,53,0,0,0,33,0,0,51,80,0,0,0,0,0,72,0,0,32,0,0,0,0,,24
23,38,0,18,41,19,58,0,0,34,55,36,36,,0,0,0,0,0,0,27,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,44,35,0,0,0,0,0,73,0,0,0,30,100,0,84,90,90,0,0,0,41,0,0,,52
0,37,0,0,0,0,65,0,0,23,0,0,0,,0,0,100,0,0,0,0,100,71,22,0,0,0,0,0,0,37,30,0,0,0,0,0,0,53,0,0,0,0,100,17,0,35,0,0,0,0,0,0,54,39,0,0,0,0,40,0,0,0,0,0,0,72,,26
