date,sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
2022-05-01,15,71,50,48,61,87,71,0,23,79,39,40,65,62,53,38,85,33,56,60,48,39,47,30,70,57,32,76,22,69,62,0,72,66,76,0,0,59,40,35,26,0,55,63,64,66,73,73,0,30,27,43,37,0,50,0,32,48,58,54,92,0,0,49,0,0,0,58,83
2022-05-08,27,91,69,76,61,66,78,80,56,75,38,49,70,71,39,34,70,42,37,74,72,41,31,61,29,40,0,78,27,65,53,25,59,68,45,69,0,0,21,45,50,0,62,76,53,68,50,56,0,22,14,56,0,0,36,0,43,14,65,88,62,42,0,69,22,38,37,53,67
2022-05-15,31,63,77,89,68,90,98,65,0,86,34,62,82,52,71,28,62,0,40,60,65,86,100,32,87,54,61,78,26,73,83,25,68,76,92,26,0,28,0,55,69,0,65,81,82,100,78,82,0,29,48,36,47,0,19,0,0,67,89,83,78,0,52,67,0,52,60,100,100
2022-05-22,50,47,51,37,51,77,100,0,32,79,36,53,68,52,0,26,64,0,20,80,54,28,29,29,63,45,0,83,14,99,66,0,58,58,85,0,41,51,45,42,61,0,58,42,37,75,30,60,0,0,28,67,29,28,0,34,64,0,43,58,80,0,63,46,0,45,59,58,80
2022-05-29,22,29,87,36,14,69,88,0,0,78,54,58,80,26,31,29,70,29,37,53,46,0,57,25,73,54,0,100,13,71,74,39,65,63,88,0,0,0,0,48,55,69,49,52,90,85,62,69,0,35,28,49,0,0,62,0,45,51,29,88,70,0,52,81,25,40,0,48,80
2022-06-05,20,48,92,23,43,71,74,0,49,69,43,53,78,50,55,36,81,0,24,85,57,52,48,46,100,51,0,71,30,73,68,30,60,60,77,0,0,25,33,0,48,0,31,41,68,72,12,50,0,32,36,62,36,0,20,0,30,0,74,78,75,0,46,55,19,64,55,56,82
2022-06-12,15,82,58,59,41,98,78,22,16,76,59,16,72,41,62,37,65,31,41,54,65,0,52,100,78,29,0,65,100,78,75,45,57,54,94,0,0,21,50,57,69,0,80,66,47,92,47,56,0,0,14,53,25,100,66,0,37,44,71,79,82,40,37,0,100,54,0,65,83
2022-06-19,18,91,67,60,66,73,69,0,54,57,58,53,93,30,50,48,55,44,23,9,53,0,23,0,79,51,0,75,32,73,50,23,68,80,70,0,0,32,25,0,69,57,49,66,87,99,58,56,0,0,20,37,0,0,35,27,100,92,55,52,61,0,17,45,32,24,0,66,73
2022-06-26,22,64,100,10,100,89,61,0,0,77,49,62,78,65,60,29,69,0,30,91,60,0,11,31,85,43,0,66,31,68,57,17,72,51,91,28,0,44,42,0,62,0,69,100,59,70,48,82,72,22,70,45,47,27,34,0,38,43,54,58,78,34,48,56,0,43,0,63,98
2022-07-03,43,77,72,16,14,71,66,0,42,79,46,47,78,65,27,36,34,0,0,74,37,83,26,52,56,33,0,72,43,51,56,0,62,67,99,0,19,0,0,37,45,0,27,67,79,63,48,49,0,24,0,52,37,0,75,21,0,0,70,87,80,58,0,34,28,0,0,64,91
