Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),2,0,0,0,0,0,1,0,1,1,1,1,7
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,0,0,0,0,1,0,1,1,1,1,7
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,1,0,0,0,1,0,0,0,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,1,0,0,1,0,0,1,0,1,0,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,11,10,11,5,8,10,1,2,1,4,2,2,67
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,3,3,2,6,3,2,0,0,0,1,3,26
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,0,0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,2,1,0,1,0,0,0,0,0,0,0,4
ESTUPRO,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTUPRO DE VULNERÁVEL,0,2,1,0,1,0,0,0,0,0,0,0,4
TOTAL DE ROUBO - OUTROS (1),78,66,108,70,63,73,78,58,87,87,105,94,967
ROUBO - OUTROS,76,65,107,70,63,73,77,58,85,87,105,94,960
ROUBO DE VEÍCULO,2,2,3,2,0,1,1,1,2,2,0,3,19
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,1,1,0,0,0,1,0,2,0,0,0,7
FURTO - OUTROS,383,292,373,303,308,321,335,324,247,314,274,273,3747
FURTO DE VEÍCULO,8,4,7,7,5,6,14,8,6,9,5,8,87
