Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,2,1,0,1,2,1,0,0,0,1,9
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,2,1,0,1,2,1,0,0,0,1,9
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,0,0,0,2,1,0,0,0,0,5
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,0,0,0,0,2,0,1,0,3,0,7
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,1,1
LESÃO CORPORAL DOLOSA,38,40,43,34,46,29,39,31,30,40,36,36,442
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,5,15,11,12,7,4,8,10,18,4,15,118
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,0,1,0,0,0,0,1,1,0,4
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,2,7,2,2,2,6,3,2,3,7,3,40
ESTUPRO,1,1,2,1,0,0,1,1,1,1,3,0,12
ESTUPRO DE VULNERÁVEL,0,1,5,1,2,2,5,2,1,2,4,3,28
TOTAL DE ROUBO - OUTROS (1),83,64,98,87,74,80,89,95,114,104,107,101,1096
ROUBO - OUTROS,83,64,96,86,72,79,89,93,113,103,105,98,1081
ROUBO DE VEÍCULO,7,7,9,10,11,13,18,13,17,18,15,19,157
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,2,1,2,1,0,2,1,1,2,3,15
FURTO - OUTROS,155,154,241,172,196,147,163,179,156,206,187,187,2143
FURTO DE VEÍCULO,48,60,79,63,58,55,67,54,44,87,80,64,759
