Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,1,0,0,0,0,1,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,1,0,0,0,0,1,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,2,1,1,0,4,1,0,0,1,0,11
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,1,1,1,0,0,0,0,1,1,3,9
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,26,29,28,30,20,21,23,46,15,40,36,25,339
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,12,22,15,24,9,7,14,15,10,11,8,10,157
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,0,0,0,2,0,0,0,0,3
LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,1,2
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,1,2
TOTAL DE ESTUPRO (4),3,0,7,3,2,3,5,5,4,3,4,2,41
ESTUPRO,1,0,1,1,2,1,3,0,0,0,1,0,10
ESTUPRO DE VULNERÁVEL,2,0,6,2,0,2,2,5,4,3,3,2,31
TOTAL DE ROUBO - OUTROS (1),83,70,81,107,75,81,86,76,82,87,88,78,994
ROUBO - OUTROS,72,62,73,100,64,73,76,69,78,74,80,74,895
ROUBO DE VEÍCULO,15,18,28,24,19,21,24,29,19,29,38,28,292
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,11,8,8,7,11,8,10,7,4,13,8,4,99
FURTO - OUTROS,83,89,141,141,144,118,111,129,108,119,127,90,1400
FURTO DE VEÍCULO,45,55,79,63,38,48,74,69,42,44,43,46,646
