Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),2,0,1,0,0,1,0,2,1,2,1,0,10
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,1,0,0,1,0,2,1,2,1,0,10
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,0,1
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,1,0,0,1
TENTATIVA DE HOMICÍDIO,0,1,1,0,0,2,1,1,0,1,1,0,8
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,1,1,0,1,0,0,0,0,0,3
LESÃO CORPORAL DOLOSA,31,10,40,22,30,30,32,26,30,39,26,32,348
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,7,5,6,8,7,8,11,6,7,6,6,86
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,1,0,0,0,2,0,0,0,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),3,3,2,5,3,2,2,5,1,3,6,5,40
ESTUPRO,0,0,0,3,0,0,1,0,1,0,1,3,9
ESTUPRO DE VULNERÁVEL,3,3,2,2,3,2,1,5,0,3,5,2,31
TOTAL DE ROUBO - OUTROS (1),197,139,159,201,167,173,165,131,160,157,161,155,1965
ROUBO - OUTROS,194,139,158,198,167,172,160,129,156,155,158,150,1936
ROUBO DE VEÍCULO,21,28,36,32,34,24,32,20,29,28,41,25,350
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,0,1,3,0,1,5,2,4,2,3,5,29
FURTO - OUTROS,133,112,166,151,126,140,96,127,115,106,121,130,1523
FURTO DE VEÍCULO,30,36,39,29,31,18,33,24,26,30,34,21,351
