Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,1,1,0,0,1,2,0,3,0,0,1,10
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,1,0,0,1,2,0,3,0,0,1,10
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,2,1,2,0,0,1,0,0,0,0,7
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,2,1,3,0,0,1,0,1,0,1,2,1,12
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,25,36,45,37,46,30,34,57,32,44,49,41,476
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,4,10,7,2,11,8,9,7,12,9,13,102
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,2,0,0,0,0,2
LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
TOTAL DE ESTUPRO (4),10,3,3,3,6,4,5,3,4,4,4,7,56
ESTUPRO,3,1,0,2,0,1,2,0,1,0,1,0,11
ESTUPRO DE VULNERÁVEL,7,2,3,1,6,3,3,3,3,4,3,7,45
TOTAL DE ROUBO - OUTROS (1),194,163,207,169,183,169,165,216,213,241,217,224,2361
ROUBO - OUTROS,191,162,205,169,183,168,165,215,210,241,215,221,2345
ROUBO DE VEÍCULO,19,14,13,18,19,23,20,25,14,29,19,26,239
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,1,2,0,0,1,0,1,3,0,2,3,16
FURTO - OUTROS,213,187,252,216,243,215,241,211,222,225,253,247,2725
FURTO DE VEÍCULO,34,36,41,34,36,39,42,41,41,37,51,31,463
