Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,0,1,1,0,1,0,0,0,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,0,1,1,0,1,0,0,0,5
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,2,0,0,1,0,0,1,0,1,0,0,0,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,1,0,0,0,0,0,1
LESÃO CORPORAL DOLOSA,13,12,25,20,11,10,20,14,21,65,18,23,252
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,1,2,3,7,1,4,6,1,9,8,3,50
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,1,0,0,1,2
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,1,3,0,0,2,0,2,1,0,0,2,12
ESTUPRO,1,1,1,0,0,1,0,2,0,0,0,1,7
ESTUPRO DE VULNERÁVEL,0,0,2,0,0,1,0,0,1,0,0,1,5
TOTAL DE ROUBO - OUTROS (1),176,174,138,208,186,161,145,133,138,177,168,174,1978
ROUBO - OUTROS,176,174,138,208,186,160,144,133,138,177,168,173,1975
ROUBO DE VEÍCULO,3,2,3,0,2,1,1,0,7,2,1,6,28
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,1,1,0,0,0,0,1,3
FURTO - OUTROS,341,339,424,493,414,322,304,347,327,406,448,406,4571
FURTO DE VEÍCULO,8,7,16,17,11,17,11,17,13,16,20,21,174
