Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,1,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,1,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,1,0,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,1,1,0,0,0,0,0,0,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,18,25,17,18,16,28,16,22,23,22,16,17,238
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,4,9,7,9,11,13,11,9,11,6,7,104
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,1,1,0,0,0,0,0,0,1,4
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,1,2,0,1,1,0,1,1,0,1,0,8
ESTUPRO,0,1,1,0,0,1,0,1,1,0,1,0,6
ESTUPRO DE VULNERÁVEL,0,0,1,0,1,0,0,0,0,0,0,0,2
TOTAL DE ROUBO - OUTROS (1),190,146,203,206,218,312,185,264,271,326,289,241,2851
ROUBO - OUTROS,189,145,203,206,218,312,184,264,271,326,289,241,2848
ROUBO DE VEÍCULO,0,1,2,2,1,4,2,7,2,2,1,3,27
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,1,0,0,0,0,1,0,0,0,0,0,3
FURTO - OUTROS,498,461,644,670,759,2350,693,736,863,1281,989,614,10558
FURTO DE VEÍCULO,23,40,49,38,31,30,41,43,44,52,57,43,491
