Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,2,1,0,0,2,0,2,0,1,1,0,9
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,3,1,0,0,2,0,2,0,1,1,0,10
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,1,2,0,2,0,0,1,0,0,1,8
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,1,0,0,0,0,0,1,0,3,0,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,18,17,33,17,21,17,17,13,17,12,19,39,240
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,8,12,12,6,10,4,5,7,6,3,6,85
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,2,0,2,0,1,2,0,0,8
LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),6,3,2,3,0,1,4,2,0,1,2,3,27
ESTUPRO,4,1,0,0,0,1,1,0,0,1,0,1,9
ESTUPRO DE VULNERÁVEL,2,2,2,3,0,0,3,2,0,0,2,2,18
TOTAL DE ROUBO - OUTROS (1),182,130,104,71,131,83,107,75,124,113,112,180,1412
ROUBO - OUTROS,182,130,103,71,131,81,106,74,123,111,111,180,1403
ROUBO DE VEÍCULO,16,14,9,6,11,11,13,14,21,28,17,25,185
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,1,0,0,2,1,1,1,2,1,0,9
FURTO - OUTROS,93,107,117,132,127,114,111,143,120,116,137,142,1459
FURTO DE VEÍCULO,10,11,9,14,6,8,9,16,8,12,8,22,133
